run_id,block,position,mode,completed,task_success,outcome,iterations,local_context_total,prompt_tokens,completion_tokens,model_wall_seconds,task_wall_seconds,tool_action_count,repeated_tool_action_count,retry_count,request_bytes,response_bytes,cpu_seconds,rss_peak_bytes,gpu_running_seconds,gpu_dedicated_peak_bytes,cost_cny
main-b01-p1-full,1,1,full,True,True,correct,3,3959,3950,1110,45.562000000000005,45.79700000002049,4,0,1,13705,321291,14.265625,199254016,0.0,0,0.153136
main-b01-p2-no_history,1,2,no_history,False,False,no_terminal_response,5,3380,3365,2042,69.968,70.45299999997951,15,12,1,13555,432996,21.828125,200556544,0.0,0,0.234636
main-b01-p3-no_reasoning,1,3,no_reasoning,True,True,correct,3,3812,3803,891,43.53,43.70299999997951,4,0,2,12935,248296,14.015625,201318400,0.0,0,0.128296
main-b01-p4-no_tool_calls,1,4,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,1000,35.453,35.48399999999674,0,0,0,918,352442,11.734375,202162176,0.0,0,0.100592
main-b01-p5-no_tool_results,1,5,no_tool_results,False,False,no_terminal_response,5,6366,6351,1273,71.016,71.40700000000652,10,6,3,23357,246479,19.75,202858496,0.0,0,0.189808
main-b02-p1-no_history,2,1,no_history,False,False,no_terminal_response,5,3380,3365,1868,56.235,56.78099999995902,15,12,0,13555,369830,17.296875,203145216,0.0,0,0.235668
main-b02-p2-no_reasoning,2,2,no_reasoning,True,True,correct,3,3757,3748,934,30.826999999999998,31.06300000002375,4,0,0,12824,262317,10.1875,203440128,0.0,0,0.149928
main-b02-p3-no_tool_calls,2,3,no_tool_calls,True,False,unsupported_numbers,1,263,260,3409,124.578,124.61000000004424,0,0,1,918,1227869,38.34375,203567104,0.0,0,0.341492
main-b02-p4-no_tool_results,2,4,no_tool_results,True,False,unsupported_numbers,3,3076,3067,868,29.999000000000002,30.219000000040978,4,0,0,11361,233225,9.828125,204054528,0.0,0,0.111276
main-b02-p5-full,2,5,full,True,True,correct,3,3962,3953,1025,31.108999999999998,31.35899999999674,4,0,0,13789,291470,9.625,204419072,0.0,0,0.149304
main-b03-p1-no_reasoning,3,1,no_reasoning,True,True,correct,3,3699,3690,964,34.937,35.15600000001723,4,0,1,12658,270707,10.671875,204972032,0.0,0,0.142552
main-b03-p2-no_tool_calls,3,2,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,1424,48.938,48.96899999998277,0,0,0,918,502546,15.203125,205729792,0.0,0,0.1476
main-b03-p3-no_tool_results,3,3,no_tool_results,True,False,unsupported_numbers,3,5199,5190,2995,87.749,87.95299999997951,4,0,0,19290,1005567,26.9375,206839808,0.0,0,0.366436
main-b03-p4-full,3,4,full,True,True,correct,3,4024,4015,1030,29.343,29.60999999998603,4,0,0,13833,296379,9.921875,207327232,0.0,0,0.146436
main-b03-p5-no_history,3,5,no_history,False,False,no_terminal_response,5,3380,3365,1982,52.171,52.86000000004424,15,12,0,13555,411390,18.0625,207867904,0.0,0,0.21942
main-b04-p1-no_tool_calls,4,1,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,756,24.093,24.125,0,0,0,918,259840,7.21875,208920576,0.0,0,0.076192
main-b04-p2-no_tool_results,4,2,no_tool_results,False,False,no_terminal_response,5,7014,6999,1512,43.47,43.95300000003772,11,4,0,25063,315583,13.328125,209346560,0.0,0,0.203628
main-b04-p3-full,4,3,full,True,True,correct,3,3990,3981,1063,28.751,28.93800000002375,4,0,0,13794,305687,8.8125,209403904,0.0,0,0.144448
main-b04-p4-no_history,4,4,no_history,False,False,no_terminal_response,5,3380,3365,1853,46.439,47.09399999998277,15,12,0,13555,365432,14.5625,209403904,0.0,0,0.20652
main-b04-p5-no_reasoning,4,5,no_reasoning,True,True,correct,3,3683,3674,946,25.5,25.70299999997951,4,0,0,12562,264209,7.71875,209383424,0.0,0,0.131216
main-b05-p1-no_tool_results,5,1,no_tool_results,True,False,unsupported_numbers,3,3285,3276,1023,27.718999999999998,27.93799999996554,4,0,0,12013,292125,8.484375,209383424,0.0,0,0.130956
main-b05-p2-full,5,2,full,True,True,correct,3,3951,3942,873,23.109,23.35899999999674,4,0,0,13742,239083,7.390625,209379328,0.0,0,0.129276
main-b05-p3-no_history,5,3,no_history,False,False,no_terminal_response,5,3380,3365,1850,48.438,49.06199999997625,15,12,0,13555,364484,14.75,209379328,0.0,0,0.20622
main-b05-p4-no_reasoning,5,4,no_reasoning,True,True,correct,3,3696,3687,913,25.484,25.70300000003772,4,0,0,12754,252855,7.40625,209469440,0.0,0,0.128176
main-b05-p5-no_tool_calls,5,5,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,741,23.187,23.23399999999674,0,0,0,918,256080,7.125,209473536,0.0,0,0.074692
main-b06-p1-full,6,1,full,True,True,correct,3,3853,3844,823,23.39,23.59299999999348,4,0,0,13325,219901,7.34375,209838080,0.0,0,0.122316
main-b06-p2-no_history,6,2,no_history,False,False,no_terminal_response,5,3380,3365,1684,45.171,45.93700000003446,15,12,0,13555,303875,14.390625,210239488,0.0,0,0.18962
main-b06-p3-no_reasoning,6,3,no_reasoning,True,True,correct,3,3691,3682,932,29.03,29.26600000000326,4,0,0,12692,260495,9.03125,210710528,0.0,0,0.129976
main-b06-p4-no_tool_calls,6,4,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,1184,35.344,35.35999999998603,0,0,0,918,417653,10.421875,211349504,0.0,0,0.118992
main-b06-p5-no_tool_results,6,5,no_tool_results,False,False,no_terminal_response,5,6337,6322,1011,34.781,35.17200000002049,7,3,0,23559,206625,11.625,212434944,0.0,0,0.144596
main-b07-p1-no_history,7,1,no_history,False,False,no_terminal_response,5,3380,3365,1971,51.859,52.34400000004098,15,12,0,13555,408347,16.125,212656128,0.0,0,0.21832
main-b07-p2-no_reasoning,7,2,no_reasoning,True,True,correct,3,3740,3731,877,24.079,24.25,4,0,0,12788,241749,7.53125,212676608,0.0,0,0.125456
main-b07-p3-no_tool_calls,7,3,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,1801,63.656,63.67200000002049,0,0,0,918,640262,18.75,212688896,0.0,0,0.180692
main-b07-p4-no_tool_results,7,4,no_tool_results,False,False,no_terminal_response,5,6380,6365,1368,40.532,40.875,9,3,0,23769,299524,11.734375,212709376,0.0,0,0.181156
main-b07-p5-full,7,5,full,True,True,correct,3,4096,4087,1153,27.516,27.68699999997625,4,0,0,14164,338579,8.0625,212840448,0.0,0,0.164784
main-b08-p1-no_reasoning,8,1,no_reasoning,True,True,correct,3,3605,3596,938,28.297,28.45299999997951,4,0,0,12429,259668,8.6875,212852736,0.0,0,0.128856
main-b08-p2-no_tool_calls,8,2,no_tool_calls,True,False,unsupported_numbers,1,263,260,2634,79.156,79.17200000002049,0,0,0,918,938905,22.875,212852736,0.0,0,0.263992
main-b08-p3-no_tool_results,8,3,no_tool_results,True,True,correct,3,3370,3361,1101,28.531,28.67200000002049,4,0,0,12215,321982,8.75,212848640,0.0,0,0.140456
main-b08-p4-full,8,4,full,True,True,correct,3,4092,4083,1117,29.734,29.875,4,0,0,14098,326997,9.359375,212852736,0.0,0,0.151888
main-b08-p5-no_history,8,5,no_history,False,False,no_terminal_response,5,3380,3365,1819,47.876000000000005,48.39100000000326,15,12,1,13555,353571,13.828125,212860928,0.0,0,0.20312
main-b09-p1-no_tool_calls,9,1,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,3997,130.547,130.57800000003772,0,0,0,918,1437393,36.046875,212877312,0.0,0,0.400292
main-b09-p2-no_tool_results,9,2,no_tool_results,True,False,no_unsupported_numbers,5,7211,7196,2229,64.859,65.18800000002375,8,1,0,27009,620322,18.734375,212877312,0.0,0,0.279268
main-b09-p3-full,9,3,full,True,True,correct,3,3941,3932,1012,27.938,28.07799999997951,4,0,0,13624,285942,8.625,212881408,0.0,0,0.138368
main-b09-p4-no_history,9,4,no_history,False,False,no_terminal_response,5,3380,3365,1668,42.032000000000004,42.46899999998277,15,9,0,13555,298351,11.984375,212881408,0.0,0,0.18802
main-b09-p5-no_reasoning,9,5,no_reasoning,True,True,correct,3,3664,3655,972,26.844,27.0,4,0,0,12598,274856,8.453125,212885504,0.0,0,0.133436
main-b10-p1-no_tool_results,10,1,no_tool_results,True,False,unsupported_numbers,3,3639,3630,2558,71.985,72.14100000000326,4,0,0,13480,852109,21.40625,212918272,0.0,0,0.286928
main-b10-p2-full,10,2,full,True,True,correct,3,3787,3778,803,23.203,23.34399999998277,4,0,0,13417,210703,6.859375,213041152,0.0,0,0.118996
main-b10-p3-no_history,10,3,no_history,False,False,no_terminal_response,5,3380,3365,1576,40.891,41.35999999998603,15,12,0,13555,266791,12.640625,213041152,0.0,0,0.17882
main-b10-p4-no_reasoning,10,4,no_reasoning,True,True,correct,3,3719,3710,1010,45.953,46.18800000002375,4,0,1,12848,286801,12.625,198725632,0.0,0,0.147552
